url,inlink_count,source_type_count,source_types,sample_sources,status
https://senseisandy.com/videos/25-2025-mzi3kdzmau8,10,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/index.html|videos/rear-bear-hug-body-lock-defense-seatbelt-back-wswxnsiavuu.html|videos/safe-tai-otoshi-rear-body-lock-defense-youth-n-yodtnn8f8.html,pass
https://senseisandy.com/videos/25-for-2025-MZI3kDzmaU8,2,1,video-related,videos/private-video-VXzRG-G8rtU.html|videos/safe-tai-otoshi-rear-body-lock-defense-youth-handcuff-ride-passing-cheat-code-adults-N-YODTNN8F8.html,fail
https://senseisandy.com/videos/25-for-2025-mzi3kdzmau8,2,1,video-related,videos/private-video-vxzrg-g8rtu.html|videos/safe-tai-otoshi-rear-body-lock-defense-youth-handcuff-ride-n-yodtnn8f8.html,fail
https://senseisandy.com/videos/4pm-class-5wXyFR6f2yc,2,1,video-related,videos/6pm-adults-NS5gBmsJW9I.html|videos/wednesday-GFcByYHrou4.html,fail
https://senseisandy.com/videos/4pm-class-5wxyfr6f2yc,2,1,video-related,videos/6pm-adults-ns5gbmsjw9i.html|videos/wednesday-gfcbyyhrou4.html,fail
https://senseisandy.com/videos/4pm-kid-takedowns-in-tannersville-IsRHsAKxmCo,2,1,video-related,videos/friday-tannersville-kids-bjj-qf48JtbhJug.html|videos/kids-bjj-safety-skills-hair-pull-escape-grip-break-game-balance-wars-gi-folding-EeNqfgRycfE.html,fail
https://senseisandy.com/videos/4pm-kid-takedowns-in-tannersville-isrhsakxmco,1,1,video-related,videos/kids-bjj-safety-skills-hair-pull-escape-grip-break-game-eenqfgrycfe.html,fail
https://senseisandy.com/videos/4pm-kid-takedowns-tannersville-isrhsakxmco,10,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/friday-tannersville-kids-bjj-qf48jtbhjug.html|videos/index.html|videos/kids-bjj-safety-skills-hair-pull-escape-grip-eenqfgrycfe.html|videos/kids.html,pass
https://senseisandy.com/videos/4pm-kids-5K-uN3MYncU,2,1,video-related,videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-pass-takedown-cross-body-pin-uk16CCtsKk8.html|videos/kids-adults-bjj-class-snap-downs-loop-choke-seatbelt-back-control-closed-guard-live-rounds-PksQic7GArU.html,fail
https://senseisandy.com/videos/4pm-kids-5k-un3myncu,2,1,video-related,videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-uk16cctskk8.html|videos/kids-adults-bjj-class-snap-downs-loop-choke-seatbelt-back-pksqic7garu.html,fail
https://senseisandy.com/videos/5pm--HuSzeaTXuY,0,0,,,fail
https://senseisandy.com/videos/5pm-teens-Jmr7M3E5CoM,1,1,video-related,videos/teens-brazilian-jiu-jitsu-chokes-self-defense-LFeW-qWwdgQ.html,fail
https://senseisandy.com/videos/5pm-teens-jmr7m3e5com,0,0,,,fail
https://senseisandy.com/videos/6-pm-bjj-class-preview-session-1-l5hh632g2h4,3,1,video-related,videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-shoulder-pressure-escape-PAodMOpIVNk.html|videos/friday-9-30am-Hc-5NaiXKFw.html|videos/friday-9-30am-hc-5naixkfw.html,fail
https://senseisandy.com/videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y,4,1,video-related,videos/friday-tIcb1N-nMgc.html|videos/friday-ticb1n-nmgc.html|videos/games-loRFy-ndeNk.html|videos/games-lorfy-ndenk.html,fail
https://senseisandy.com/videos/6pm-L5hh632g2h4,0,0,,,fail
https://senseisandy.com/videos/6pm-adults-NS5gBmsJW9I,2,1,video-related,videos/4pm-class-5wXyFR6f2yc.html|videos/friday-9-30am-Hc-5NaiXKFw.html,fail
https://senseisandy.com/videos/6pm-adults-ns5gbmsjw9i,2,1,video-related,videos/4pm-class-5wxyfr6f2yc.html|videos/friday-9-30am-hc-5naixkfw.html,fail
https://senseisandy.com/videos/6pm-lQtzpVkiW7Y,0,0,,,fail
https://senseisandy.com/videos/adult-brazilian-jiu-jitsu-beginner-class-mat-returns-lAtXJ0ov1SA,0,0,,,fail
https://senseisandy.com/videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974,2,1,video-related,videos/brazilian-jiu-jitsu-beginner-intro-wednesday-no-gi-RWEVpph8AeI.html|videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-finish-bjj-class-games-Ioek3l5oqhY.html,fail
https://senseisandy.com/videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-tiparvz3974,1,1,video-related,videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy.html,fail
https://senseisandy.com/videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974,10,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/brazilian-jiu-jitsu-beginner-intro-wednesday-no-gi-rwevpph8aei.html|videos/breakfalls-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy.html|videos/index.html,pass
https://senseisandy.com/videos/bjj-brazilian-jiu-jitsu-kata-gatame-sabado-gigante-i2_ZxD8UKcc,0,0,,,fail
https://senseisandy.com/videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-cxcaeoxc1e4,2,1,video-related,videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-ecxel1po6ue.html|videos/hair-grab-self-defense-duck-and-hug-takedown-mount-escape-db1lfepopv4.html,fail
https://senseisandy.com/videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-mount-escape-shin-ride-crackdown-CxcAeOXc1E4,2,1,video-related,videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-mount-escape-crackdown-crucifix-ecxeL1PO6UE.html|videos/hair-grab-self-defense-duck-and-hug-takedown-mount-escape-youth-adult-bjj-class-db1LFEPOPv4.html,fail
https://senseisandy.com/videos/bjj-class-breakdown-bed-sheet-takedown-bridge-roll-cxcaeoxc1e4,12,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/bjj-fundamentals-catskills-belt-tie-breakfalls-mount-escape-ecxel1po6ue.html|videos/escapes.html|videos/hair-grab-self-defense-duck-hug-takedown-mount-db1lfepopv4.html,pass
https://senseisandy.com/videos/bjj-day-1-wednesday-in-tannersville-ny-BeINaONoezg,0,0,,,fail
https://senseisandy.com/videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-paodmopivnk,14,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/escapes.html|videos/front-headlock-escapes-spinning-turtle-rear-body-lock-s7jvperxqrg.html|videos/high-elbow-guillotine-front-headlock-control-bjj-class-n0s6-u9kmhg.html,pass
https://senseisandy.com/videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-shoulder-pressure-escape-PAodMOpIVNk,4,1,video-related,videos/front-headlock-escapes-spinning-turtle-rear-body-lock-escapes-50-50-safety-drills-bjj-class-s7jVPeRXqrg.html|videos/high-elbow-guillotine-front-headlock-control-bjj-class-games-sparring-deep-dive-N0S6-u9KmHg.html|videos/peterson-roll-escape-paint-brush-choke-reverse-power-nelson-bjj-class-breakdown-PtRaLTY9r64.html|videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-bjj-class-breakdown-P8UneaZvoWk.html,fail
https://senseisandy.com/videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-paodmopivnk,2,1,video-related,videos/6-pm-bjj-class-preview-session-1-l5hh632g2h4.html|videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-bjj-p8uneazvowk.html,fail
https://senseisandy.com/videos/bjj-fundamentals-catskills-belt-tie-breakfalls-mount-escape-ecxel1po6ue,14,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-roll-cxcaeoxc1e4.html|videos/breakfalls-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy.html|videos/breakfalls.html,pass
https://senseisandy.com/videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-ecxel1po6ue,4,1,video-related,videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-cxcaeoxc1e4.html|videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy.html|videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-zmmvel-pf2u.html|videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-uk16cctskk8.html,fail
https://senseisandy.com/videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-mount-escape-crackdown-crucifix-ecxeL1PO6UE,4,1,video-related,videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-mount-escape-shin-ride-crackdown-CxcAeOXc1E4.html|videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-finish-bjj-class-games-Ioek3l5oqhY.html|videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-get-ups-loop-choke-finish-zmmVEl-pf2U.html|videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-pass-takedown-cross-body-pin-uk16CCtsKk8.html,fail
https://senseisandy.com/videos/bjj-pressure-concepts-paint-brush-elbow-chest-compression-kcbwc0djxp4,12,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/index.html|videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-bjj-p8uneazvowk.html|videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-p8uneazvowk.html,pass
https://senseisandy.com/videos/bjj-pressure-concepts-paint-brush-elbow-chest-compression-north-south-control-kcbwC0dJXP4,2,1,video-related,videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-bjj-class-breakdown-P8UneaZvoWk.html|videos/safe-stand-ups-knee-pick-bulldog-front-headlock-north-south-choke-bjj-class-B8X5bI-3THU.html,fail
https://senseisandy.com/videos/bjj-teens-tannersville-wednesday-no-gi-submission-wrestling-rr8NoQAaumU,0,0,,,fail
https://senseisandy.com/videos/brazilian-jiu-jitsu-beginner-intro-wednesday-no-gi-RWEVpph8AeI,9,1,video-related,videos/4pm-kids-5K-uN3MYncU.html|videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974.html|videos/friday-tannersville-kids-bjj-qf48JtbhJug.html|videos/kids-bjj-safety-class-side-breakfall-don-t-fall-like-a-banana-stability-ball-wrestling-lkW9SJ9v2TI.html|videos/kids-bjj-safety-class-side-breakfalls-grip-breaks-recovery-drills-retention-games-y1lu5dHnQak.html,fail
https://senseisandy.com/videos/brazilian-jiu-jitsu-beginner-intro-wednesday-no-gi-rwevpph8aei,24,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/4pm-kids-5k-un3myncu.html|videos/adults.html|videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-tiparvz3974.html|videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974.html,pass
https://senseisandy.com/videos/brazilian-jiu-jitsu-teens-wednesday-no-gi-EtZMjYZFgKk,1,1,video-related,videos/teens-brazilian-jiu-jitsu-chokes-self-defense-LFeW-qWwdgQ.html,fail
https://senseisandy.com/videos/brazilian-jiu-jitsu-teens-wednesday-no-gi-etzmjyzfgkk,9,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/index.html|videos/submissions.html|videos/teens-brazilian-jiu-jitsu-chokes-self-defense-lfew-qwwdgq.html|videos/teens.html,pass
https://senseisandy.com/videos/breakfalls-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy,14,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974.html|videos/bjj-fundamentals-catskills-belt-tie-breakfalls-mount-escape-ecxel1po6ue.html|videos/breakfalls.html,pass
https://senseisandy.com/videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-finish-bjj-class-games-Ioek3l5oqhY,5,1,video-related,videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-mount-escape-crackdown-crucifix-ecxeL1PO6UE.html|videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-get-ups-loop-choke-finish-zmmVEl-pf2U.html|videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-pass-takedown-cross-body-pin-uk16CCtsKk8.html|videos/safe-stand-ups-knee-pick-bulldog-front-headlock-north-south-choke-bjj-class-B8X5bI-3THU.html,fail
https://senseisandy.com/videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-ioek3l5oqhy,5,1,video-related,videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-tiparvz3974.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-ecxel1po6ue.html|videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-zmmvel-pf2u.html|videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-uk16cctskk8.html|videos/safe-stand-ups-knee-pick-bulldog-front-headlock-north-b8x5bi-3thu.html,fail
https://senseisandy.com/videos/cow-tip-takedown-chest-control-plus-50-escape-rr8noqaaumu,10,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/index.html|videos/rear-naked-choke-mata-leao-details-guard-retention-beinaonoezg.html|videos/submissions.html,pass
https://senseisandy.com/videos/cow-tip-takedown-chest-to-chest-control-plus-50-50-escape-game-bjj-class-rr8NoQAaumU,2,1,video-related,videos/rear-naked-choke-mata-le-o-details-guard-retention-basics-beginner-bjj-class-BeINaONoezg.html|videos/tuesday-tannersville-brazilian-jiu-jitsu-xXScA476zuE.html,fail
https://senseisandy.com/videos/cow-tip-takedown-chest-to-chest-control-plus-50-50-escape-rr8noqaaumu,1,1,video-related,videos/rear-naked-choke-mata-le-o-details-guard-retention-basics-beinaonoezg.html,fail
https://senseisandy.com/videos/friday-9-30am-Hc-5NaiXKFw,1,1,video-related,videos/6pm-adults-NS5gBmsJW9I.html,fail
https://senseisandy.com/videos/friday-9-30am-hc-5naixkfw,2,1,video-related,videos/6-pm-bjj-class-preview-session-1-l5hh632g2h4.html|videos/6pm-adults-ns5gbmsjw9i.html,fail
https://senseisandy.com/videos/friday-tIcb1N-nMgc,1,1,video-related,videos/wednesday-GFcByYHrou4.html,fail
https://senseisandy.com/videos/friday-tannersville-kids-bjj-qf48JtbhJug,1,1,video-related,videos/4pm-kid-takedowns-in-tannersville-IsRHsAKxmCo.html,fail
https://senseisandy.com/videos/friday-tannersville-kids-bjj-qf48jtbhjug,10,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/4pm-kid-takedowns-in-tannersville-isrhsakxmco.html|videos/4pm-kid-takedowns-tannersville-isrhsakxmco.html|videos/index.html|videos/kids.html,pass
https://senseisandy.com/videos/friday-ticb1n-nmgc,2,1,video-related,videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y.html|videos/wednesday-gfcbyyhrou4.html,fail
https://senseisandy.com/videos/front-headlock-escapes-spinning-turtle-rear-body-lock-escapes-50-50-safety-drills-bjj-class-s7jVPeRXqrg,9,1,video-related,videos/5pm-teens-Jmr7M3E5CoM.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-shoulder-pressure-escape-PAodMOpIVNk.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-mount-escape-crackdown-crucifix-ecxeL1PO6UE.html|videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-finish-bjj-class-games-Ioek3l5oqhY.html|videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-get-ups-loop-choke-finish-zmmVEl-pf2U.html,fail
https://senseisandy.com/videos/front-headlock-escapes-spinning-turtle-rear-body-lock-s7jvperxqrg,25,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/5pm-teens-jmr7m3e5com.html|videos/adults.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-paodmopivnk.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-paodmopivnk.html,pass
https://senseisandy.com/videos/games-loRFy-ndeNk,1,1,video-related,videos/rear-bear-hug-rear-body-lock-defense-seatbelt-back-control-grip-breaks-sparring-rules-WsWXnsiAvUU.html,fail
https://senseisandy.com/videos/games-lorfy-ndenk,2,1,video-related,videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y.html|videos/rear-bear-hug-rear-body-lock-defense-seatbelt-back-control-wswxnsiavuu.html,fail
https://senseisandy.com/videos/gi-brazilian-jiu-jitsu-thursday-teens-and-adults-AzptM1ssKTA,0,0,,,fail
https://senseisandy.com/videos/hair-grab-self-defense-duck-and-hug-takedown-mount-escape-db1lfepopv4,2,1,video-related,videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-cxcaeoxc1e4.html|videos/single-leg-takedown-mount-escape-kimura-from-back-control-oqcvatfqorc.html,fail
https://senseisandy.com/videos/hair-grab-self-defense-duck-and-hug-takedown-mount-escape-youth-adult-bjj-class-db1LFEPOPv4,2,1,video-related,videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-mount-escape-shin-ride-crackdown-CxcAeOXc1E4.html|videos/single-leg-takedown-mount-escape-kimura-from-back-control-youth-adult-bjj-class-OQcvaTFQoRc.html,fail
https://senseisandy.com/videos/hair-grab-self-defense-duck-hug-takedown-mount-db1lfepopv4,13,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-roll-cxcaeoxc1e4.html|videos/escapes.html|videos/index.html,pass
https://senseisandy.com/videos/high-elbow-guillotine-front-headlock-control-bjj-class-games-sparring-deep-dive-N0S6-u9KmHg,2,1,video-related,videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-shoulder-pressure-escape-PAodMOpIVNk.html|videos/rear-naked-choke-rnc-mount-escape-spiderweb-armbar-bjj-class-breakdown-P8UneaZvoWk.html,fail
https://senseisandy.com/videos/high-elbow-guillotine-front-headlock-control-bjj-class-n0s6-u9kmhg,12,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/adults.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-paodmopivnk.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-paodmopivnk.html|videos/index.html,pass
https://senseisandy.com/videos/hip-bump-sweep-cross-collar-choke-mount-detail-feorkwvxnre,22,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/25-2025-mzi3kdzmau8.html|videos/adults.html|videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974.html|videos/bjj-pressure-concepts-paint-brush-elbow-chest-compression-kcbwc0djxp4.html,pass
https://senseisandy.com/videos/hip-bump-sweep-cross-collar-choke-mount-detail-spiderweb-armbar-bjj-class-breakdown-FeorkwVXnrE,19,1,video-related,videos/25-for-2025-MZI3kDzmaU8.html|videos/4pm-class-5wXyFR6f2yc.html|videos/6pm-adults-NS5gBmsJW9I.html|videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974.html|videos/bjj-pressure-concepts-paint-brush-elbow-chest-compression-north-south-control-kcbwC0dJXP4.html,fail
https://senseisandy.com/videos/hip-bump-sweep-cross-collar-choke-mount-detail-spiderweb-feorkwvxnre,13,1,video-related,videos/25-for-2025-mzi3kdzmau8.html|videos/4pm-class-5wxyfr6f2yc.html|videos/6-pm-bjj-class-preview-session-1-l5hh632g2h4.html|videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y.html|videos/6pm-adults-ns5gbmsjw9i.html,fail
https://senseisandy.com/videos/how-stand-up-safely-bjj-kickstand-head-position-zmmvel-pf2u,33,5,hub-master|hub-program|hub-technique|other|video-related,bjj-videos.html|videos/25-2025-mzi3kdzmau8.html|videos/adults.html|videos/angle-b-cows-sharks-bears-oh-my-tannersville-tiparvz3974.html|videos/bjj-front-headlock-fundamentals-chin-strap-guillotine-finish-paodmopivnk.html,pass
https://senseisandy.com/videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-get-ups-loop-choke-finish-zmmVEl-pf2U,29,1,video-related,videos/25-for-2025-MZI3kDzmaU8.html|videos/4pm-class-5wXyFR6f2yc.html|videos/5pm-teens-Jmr7M3E5CoM.html|videos/6pm-adults-NS5gBmsJW9I.html|videos/angle-b-cows-sharks-and-bears-oh-my-in-tannersville-brazilian-jiu-jitsu-class-TIparvZ3974.html,fail
https://senseisandy.com/videos/how-to-stand-up-safely-in-bjj-kickstand-head-position-3-zmmvel-pf2u,21,1,video-related,videos/25-for-2025-mzi3kdzmau8.html|videos/4pm-class-5wxyfr6f2yc.html|videos/5pm-teens-jmr7m3e5com.html|videos/6-pm-bjj-class-preview-session-1-l5hh632g2h4.html|videos/6-pm-bjj-class-preview-session-2-lqtzpvkiw7y.html,fail
https://senseisandy.com/videos/kids-adults-bjj-class-breakfalls-grip-breaking-pogo-stick-pass-takedown-cross-body-pin-uk16CCtsKk8,13,1,video-related,videos/4pm-kid-takedowns-in-tannersville-IsRHsAKxmCo.html|videos/4pm-kids-5K-uN3MYncU.html|videos/bjj-class-breakdown-bed-sheet-takedown-bridge-and-roll-mount-escape-shin-ride-crackdown-CxcAeOXc1E4.html|videos/bjj-fundamentals-in-the-catskills-belt-tie-breakfalls-mount-escape-crackdown-crucifix-ecxeL1PO6UE.html|videos/breakfalls-for-beginners-3-safe-get-ups-arm-triangle-finish-bjj-class-games-Ioek3l5oqhY.html,fail
